date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:33:55	323242/323242	---MCZ	200	added ('OK')	text/html	etag:W/%22625bd831-4eeaa%22	https://htmldemo.net/edumall/edumall/index-main.html	C:/Users/handy/Downloads/Coba/htmldemo.net/edumall/edumall/index-main.html	(from )
10:33:58	400/400	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Sep%202022%2003:33:57%20GMT	https://htmldemo.net/robots.txt		(from )
10:33:59	201/201	---MC-	200	added ('OK')	image/png	date:Thu,%2029%20Sep%202022%2003:33:57%20GMT	https://htmldemo.net/edumall/edumall/assets/images/favicon.png	C:/Users/handy/Downloads/Coba/htmldemo.net/edumall/edumall/assets/images/favicon.png	(from https://htmldemo.net/edumall/edumall/index-main.html)
10:34:01	2215/2215	---MCZ	200	added ('OK')	text/css	etag:W/%22625bd90b-8a7%22	https://htmldemo.net/edumall/edumall/assets/css/vendor/edumall-icon.css	C:/Users/handy/Downloads/Coba/htmldemo.net/edumall/edumall/assets/css/vendor/edumall-icon.css	(from https://htmldemo.net/edumall/edumall/index-main.html)
10:34:01	174693/174693	---MCZ	200	added ('OK')	text/css	etag:W/%22625bd908-2aa65%22	https://htmldemo.net/edumall/edumall/assets/css/vendor/fontawesome-all.min.css	C:/Users/handy/Downloads/Coba/htmldemo.net/edumall/edumall/assets/css/vendor/fontawesome-all.min.css	(from https://htmldemo.net/edumall/edumall/index-main.html)
10:34:02	279665/279665	---MCZ	200	added ('OK')	text/css	etag:W/%22625bd909-44471%22	https://htmldemo.net/edumall/edumall/assets/css/vendor/bootstrap.min.css	C:/Users/handy/Downloads/Coba/htmldemo.net/edumall/edumall/assets/css/vendor/bootstrap.min.css	(from https://htmldemo.net/edumall/edumall/index-main.html)
10:34:02	26033/26033	---MCZ	200	added ('OK')	text/css	etag:W/%22625bd904-65b1%22	https://htmldemo.net/edumall/edumall/assets/css/plugins/aos.css	C:/Users/handy/Downloads/Coba/htmldemo.net/edumall/edumall/assets/css/plugins/aos.css	(from https://htmldemo.net/edumall/edumall/index-main.html)
10:34:11	15563/15563	---MCZ	200	added ('OK')	text/css	etag:W/%22625bd905-3ccb%22	https://htmldemo.net/edumall/edumall/assets/css/plugins/swiper-bundle.min.css	C:/Users/handy/Downloads/Coba/htmldemo.net/edumall/edumall/assets/css/plugins/swiper-bundle.min.css	(from https://htmldemo.net/edumall/edumall/index-main.html)
10:34:11	2598/2598	---MCZ	200	added ('OK')	text/css	etag:W/%22625bd904-a26%22	https://htmldemo.net/edumall/edumall/assets/css/plugins/perfect-scrollbar.css	C:/Users/handy/Downloads/Coba/htmldemo.net/edumall/edumall/assets/css/plugins/perfect-scrollbar.css	(from https://htmldemo.net/edumall/edumall/index-main.html)
10:34:12	1888/1888	---MCZ	200	added ('OK')	text/css	etag:W/%22625bd904-760%22	https://htmldemo.net/edumall/edumall/assets/css/plugins/jquery.powertip.min.css	C:/Users/handy/Downloads/Coba/htmldemo.net/edumall/edumall/assets/css/plugins/jquery.powertip.min.css	(from https://htmldemo.net/edumall/edumall/index-main.html)
10:34:20	13785/13785	---MCZ	200	added ('OK')	text/css	etag:W/%22625bd903-35d9%22	https://htmldemo.net/edumall/edumall/assets/css/plugins/glightbox.min.css	C:/Users/handy/Downloads/Coba/htmldemo.net/edumall/edumall/assets/css/plugins/glightbox.min.css	(from https://htmldemo.net/edumall/edumall/index-main.html)
10:34:21	16081/16081	---MCZ	200	added ('OK')	text/css	etag:W/%22625bd903-3ed1%22	https://htmldemo.net/edumall/edumall/assets/css/plugins/flatpickr.min.css	C:/Users/handy/Downloads/Coba/htmldemo.net/edumall/edumall/assets/css/plugins/flatpickr.min.css	(from https://htmldemo.net/edumall/edumall/index-main.html)
10:34:21	11084/11084	---MCZ	200	added ('OK')	text/css	etag:W/%22625bd903-2b4c%22	https://htmldemo.net/edumall/edumall/assets/css/plugins/ion.rangeSlider.min.css	C:/Users/handy/Downloads/Coba/htmldemo.net/edumall/edumall/assets/css/plugins/ion.rangeSlider.min.css	(from https://htmldemo.net/edumall/edumall/index-main.html)
10:34:22	16264/16264	---MCZ	200	added ('OK')	text/css	etag:W/%22625bd905-3f88%22	https://htmldemo.net/edumall/edumall/assets/css/plugins/select2.min.css	C:/Users/handy/Downloads/Coba/htmldemo.net/edumall/edumall/assets/css/plugins/select2.min.css	(from https://htmldemo.net/edumall/edumall/index-main.html)
